  SS22-02205^2022_01_1   n=3 dice=0.296
  SS21-42826^2021_07_0   n=1 dice=0.000
  SS21-58881^2021_09_1   n=1 dice=0.000
  SS22-49889^2022_08_0   n=3 dice=0.301
  SS22-23641^2022_04_2   n=2 dice=0.054
  SS23-61141^2023_09_1   n=2 dice=0.575
  SS22-45604^2022_07_2   n=2 dice=0.631
  SS21-42835^2021_07_0   n=3 dice=0.027
  SS21-34765^2021_06_0   n=4 dice=0.301
  SS21-53209^2021_08_2   n=2 dice=0.657
  SS23-12955^2023_02_2   n=1 dice=0.000
  SS23-45516^2023_07_1   n=1 dice=0.534
  SS21-58163^2021_09_1   n=4 dice=0.294
  SS23-49481^2023_07_2   n=3 dice=0.122
  SS23-18116^2023_03_2   n=3 dice=0.729
  SS21-37627^2021_06_1   n=1 dice=0.000
  SS22-38394^2022_06_2   n=1 dice=0.647
  SS22-29126^2022_05_1   n=1 dice=0.360
  SS22-04076^2022_01_1   n=2 dice=0.447
  SS22-55042^2022_08_3   n=2 dice=0.350
  SS23-04505^2023_01_1   n=1 dice=0.736
  SS23-18073^2023_03_2   n=4 dice=0.406
  SS23-12958^2023_02_2   n=2 dice=0.108
  SS22-41080^2022_07_0   n=3 dice=0.451
  SS23-19048^2023_03_2   n=4 dice=0.131
  SS22-49101^2022_08_0   n=5 dice=0.382
  SS21-60615^2021_09_2   n=3 dice=0.546
  SS21-60938^2021_09_3   n=2 dice=0.095
  SS21-34765^2021_06_0   n=4 dice=0.363
  SS22-17247^2022_03_2   n=1 dice=0.204
  SS22-49101^2022_08_0   n=6 dice=0.351
  SS21-35913^2021_06_1   n=3 dice=0.185
  SS23-21408^2023_04_0   n=4 dice=0.103
  SS23-32996^2023_05_2   n=2 dice=0.539
  SS22-41080^2022_07_0   n=6 dice=0.735
  SS23-18116^2023_03_2   n=2 dice=0.272
  SS21-39246^2021_06_2   n=1 dice=0.000
  SS21-43481^2021_07_1   n=2 dice=0.459
  SS23-23412^2023_04_1   n=1 dice=0.000
  SS22-05400^2022_01_2   n=1 dice=0.251
  SS21-38745^2021_06_2   n=1 dice=0.000
  SS22-43857^2022_07_1   n=3 dice=0.731
  SS21-42051^2021_07_0   n=1 dice=0.869
  SS21-39090^2021_06_2   n=1 dice=0.570
  SS21-37297^2021_06_1   n=1 dice=0.652
  SS21-37293^2021_06_1   n=1 dice=0.675
  SS21-35590^2021_06_0   n=2 dice=0.547
  SS21-35425^2021_06_0   n=1 dice=0.812
  SS21-41214^2021_07_0   n=2 dice=0.223
  SS21-35590^2021_06_1   n=2 dice=0.464

===== LOCALIZE [amg] -> segmenter -> 50 vẽ tay =====
Dice median=0.3556 mean=0.3637 (n=50) | 1u=0.305(n18) >1u=0.357(n32)
SO: full-auto detector=0.635 | ceiling box-GT=0.883 | nhãn SAM cũ=0.554
-> results/loc_amg.json
