  SS22-02205^2022_01_1   n=3 dice=0.344
  SS21-42826^2021_07_0   n=1 dice=0.886
  SS21-58881^2021_09_1   n=1 dice=0.484
  SS22-49889^2022_08_0   n=3 dice=0.253
  SS22-23641^2022_04_2   n=2 dice=0.059
  SS23-61141^2023_09_1   n=2 dice=0.605
  SS22-45604^2022_07_2   n=2 dice=0.595
  SS21-42835^2021_07_0   n=3 dice=0.268
  SS21-34765^2021_06_0   n=4 dice=0.349
  SS21-53209^2021_08_2   n=2 dice=0.685
  SS23-12955^2023_02_2   n=1 dice=0.242
  SS23-45516^2023_07_1   n=1 dice=0.852
  SS21-58163^2021_09_1   n=4 dice=0.273
  SS23-49481^2023_07_2   n=3 dice=0.150
  SS23-18116^2023_03_2   n=3 dice=0.737
  SS21-37627^2021_06_1   n=1 dice=0.810
  SS22-38394^2022_06_2   n=1 dice=0.772
  SS22-29126^2022_05_1   n=1 dice=0.199
  SS22-04076^2022_01_1   n=2 dice=0.506
  SS22-55042^2022_08_3   n=2 dice=0.163
  SS23-04505^2023_01_1   n=1 dice=0.949
  SS23-18073^2023_03_2   n=4 dice=0.445
  SS23-12958^2023_02_2   n=2 dice=0.338
  SS22-41080^2022_07_0   n=3 dice=0.822
  SS23-19048^2023_03_2   n=4 dice=0.455
  SS22-49101^2022_08_0   n=5 dice=0.340
  SS21-60615^2021_09_2   n=3 dice=0.544
  SS21-60938^2021_09_3   n=2 dice=0.064
  SS21-34765^2021_06_0   n=4 dice=0.375
  SS22-17247^2022_03_2   n=1 dice=0.235
  SS22-49101^2022_08_0   n=6 dice=0.380
  SS21-35913^2021_06_1   n=3 dice=0.188
  SS23-21408^2023_04_0   n=4 dice=0.185
  SS23-32996^2023_05_2   n=2 dice=0.571
  SS22-41080^2022_07_0   n=6 dice=0.792
  SS23-18116^2023_03_2   n=2 dice=0.621
  SS21-39246^2021_06_2   n=1 dice=0.939
  SS21-43481^2021_07_1   n=2 dice=0.355
  SS23-23412^2023_04_1   n=1 dice=0.524
  SS22-05400^2022_01_2   n=1 dice=0.569
  SS21-38745^2021_06_2   n=1 dice=0.932
  SS22-43857^2022_07_1   n=3 dice=0.672
  SS21-42051^2021_07_0   n=1 dice=0.855
  SS21-39090^2021_06_2   n=1 dice=0.877
  SS21-37297^2021_06_1   n=1 dice=0.575
  SS21-37293^2021_06_1   n=1 dice=0.874
  SS21-35590^2021_06_0   n=2 dice=0.325
  SS21-35425^2021_06_0   n=1 dice=0.833
  SS21-41214^2021_07_0   n=2 dice=0.203
  SS21-35590^2021_06_1   n=2 dice=0.473

===== LOCALIZE [slic] -> segmenter -> 50 vẽ tay =====
Dice median=0.4946 mean=0.5108 (n=50) | 1u=0.821(n18) >1u=0.365(n32)
SO: full-auto detector=0.635 | ceiling box-GT=0.883 | nhãn SAM cũ=0.554
-> results/loc_slic.json
